,real_value,prediction
0,0,0
1,0,0
2,0,0
3,1,1
4,1,1
5,1,1
6,1,1
7,1,1
8,1,1
9,0,0
10,1,1
11,0,0
12,0,0
13,0,0
14,1,1
15,1,1
16,1,1
17,0,0
18,0,0
19,0,0
20,1,1
21,0,0
22,1,1
23,1,1
24,1,1
25,1,1
26,0,0
27,1,1
28,0,0
29,1,1
30,1,1
31,1,1
32,1,1
33,1,1
34,0,0
35,0,0
36,0,0
37,0,0
38,0,0
39,0,0
40,1,1
41,0,0
42,0,0
43,0,0
44,1,1
45,1,1
46,1,1
47,0,0
48,1,1
49,0,0
50,1,1
51,0,0
52,1,1
53,0,0
54,0,0
55,1,1
56,1,1
57,1,1
58,0,0
59,0,0
60,1,1
61,0,0
62,0,0
63,0,0
64,1,1
65,1,1
66,1,1
67,1,1
68,1,1
69,1,1
70,1,1
71,0,0
72,0,0
73,0,0
74,0,0
75,0,0
76,0,0
77,1,1
78,0,0
79,0,0
80,0,0
81,0,0
82,0,0
83,0,0
84,1,1
85,1,1
86,0,0
87,0,0
88,0,0
89,0,1
90,0,0
91,0,0
92,1,1
93,1,1
94,1,1
95,0,0
96,1,1
97,0,0
98,0,0
99,0,0
100,1,1
101,0,0
102,1,1
103,1,1
104,1,1
105,0,0
106,1,1
107,0,0
108,0,0
109,1,1
110,1,1
111,1,1
112,1,1
113,1,1
114,0,0
115,1,1
116,0,0
117,1,1
118,0,0
119,0,0
120,0,0
121,0,0
122,0,0
123,0,0
124,0,0
125,0,0
126,0,0
127,1,1
128,0,0
129,1,1
130,0,0
131,0,0
132,1,1
133,1,1
134,0,0
135,1,1
136,0,0
137,1,1
138,0,0
139,1,1
140,1,1
141,1,1
142,1,1
143,1,1
144,0,0
145,1,1
146,0,0
147,1,1
148,0,0
149,0,0
150,1,1
151,0,0
152,1,1
153,1,1
154,1,1
155,0,0
156,1,1
157,1,1
158,0,0
159,0,0
160,0,0
161,0,0
162,0,0
163,0,0
164,0,0
165,1,1
166,0,0
167,1,1
168,1,1
169,1,1
170,0,0
171,0,0
172,1,1
173,0,0
174,0,0
175,1,1
176,0,0
177,1,1
178,1,1
179,1,1
180,1,1
181,1,1
182,0,0
183,1,1
184,1,1
185,1,1
186,0,0
187,0,0
188,0,0
189,1,1
190,0,0
191,1,1
192,0,0
193,1,1
194,0,0
195,1,1
196,0,0
197,0,0
198,0,0
199,1,1
200,1,1
201,0,0
202,0,0
203,1,1
204,0,0
205,1,1
206,0,0
207,0,1
208,0,0
209,1,1
210,0,0
211,0,0
212,0,0
213,1,1
214,1,1
215,1,1
216,0,0
217,1,1
218,1,1
219,1,1
220,0,0
221,0,0
222,1,1
223,0,0
224,1,1
225,1,1
226,0,0
227,0,0
228,0,0
229,0,0
230,1,1
231,0,0
232,0,0
233,1,1
234,1,1
235,1,1
236,0,0
237,0,0
238,0,0
239,0,0
240,1,1
241,0,0
242,0,0
243,1,1
244,0,0
245,0,0
246,1,1
247,0,0
248,0,0
249,0,0
250,1,1
251,0,0
252,0,0
253,0,0
254,1,1
255,0,0
256,0,0
257,1,1
258,0,0
259,0,0
260,0,0
261,0,0
262,1,1
263,1,1
264,0,0
265,0,0
266,1,1
267,1,1
268,1,1
269,1,1
270,1,1
271,0,0
272,0,1
273,0,0
274,0,0
