,real_value,prediction
0,0,0
1,1,1
2,0,0
3,0,0
4,0,0
5,1,1
6,1,1
7,0,0
8,0,0
9,1,1
10,0,0
11,1,1
12,0,0
13,0,0
14,1,1
15,1,1
16,0,0
17,1,1
18,0,0
19,0,0
20,0,0
21,1,1
22,1,1
23,0,0
24,0,0
25,1,1
26,0,0
27,1,1
28,1,1
29,0,0
30,1,1
31,1,1
32,0,0
33,1,1
34,0,0
35,0,0
36,0,0
37,0,0
38,0,0
39,1,1
40,1,1
41,1,1
42,0,0
43,0,0
44,0,0
45,0,0
46,1,1
47,0,0
48,1,1
49,1,1
50,0,0
51,1,1
52,0,0
53,1,1
54,1,1
55,1,1
56,1,1
57,1,1
58,0,0
59,0,0
60,1,1
61,1,1
62,0,0
63,1,1
64,0,0
65,0,0
66,0,0
67,0,0
68,1,1
69,1,1
70,0,0
71,1,1
72,1,1
73,0,0
74,1,1
75,0,0
76,0,0
77,0,0
78,1,1
79,1,1
80,1,1
81,0,0
82,1,1
83,1,1
84,1,1
85,0,0
86,1,1
87,0,0
88,1,1
89,0,0
90,1,1
91,0,0
92,0,0
93,0,0
94,0,0
95,1,1
96,0,0
97,0,0
98,0,0
99,0,0
100,0,0
101,1,1
102,0,0
103,1,1
104,0,0
105,1,1
106,1,1
107,0,0
108,0,0
109,0,0
110,0,0
111,1,1
112,0,0
113,0,0
114,1,1
115,1,1
116,0,0
117,1,1
118,0,0
119,1,1
120,1,1
121,0,0
122,0,0
123,1,1
124,0,0
125,0,0
126,1,1
127,0,0
128,1,1
129,1,1
130,0,0
131,0,0
132,0,0
133,0,0
134,0,0
135,1,1
136,1,1
137,1,1
138,1,1
139,1,1
140,1,1
141,0,0
142,0,0
143,1,1
144,0,0
145,1,1
146,0,0
147,1,1
148,0,0
149,0,0
150,1,1
151,0,0
152,0,0
153,0,0
154,1,1
155,0,0
156,0,0
157,0,0
158,1,1
159,0,0
160,1,1
161,0,0
162,0,0
163,1,1
164,0,0
165,0,0
166,0,0
167,0,0
168,0,0
169,0,0
170,0,0
171,0,0
172,0,0
173,1,1
174,1,1
175,0,0
176,0,0
177,0,0
178,1,1
179,1,1
180,0,0
181,1,1
182,1,1
183,0,0
184,1,1
185,1,1
186,0,0
187,0,0
188,1,1
189,1,1
190,1,1
191,0,0
192,0,0
193,0,0
194,1,1
195,0,0
196,0,0
197,1,1
198,1,1
199,0,0
200,0,0
201,0,0
202,1,1
203,0,0
204,0,0
205,1,1
206,0,0
207,0,0
208,0,0
209,0,0
210,0,0
211,1,1
212,0,0
213,1,1
214,0,0
215,1,1
216,0,0
217,0,0
218,1,1
219,1,1
220,1,1
221,1,1
222,0,0
223,1,1
224,0,0
225,0,0
226,0,0
227,1,1
228,0,0
229,0,0
230,1,1
231,0,0
232,0,0
233,0,0
234,1,1
235,0,0
236,1,1
237,1,1
238,1,1
239,0,0
240,0,0
241,1,1
242,1,1
243,1,1
244,0,0
245,0,0
246,0,0
247,0,0
248,0,0
249,1,1
250,0,0
251,0,0
252,0,0
253,1,1
254,1,1
255,1,1
256,0,0
257,0,0
258,0,0
259,0,0
260,1,1
261,0,0
262,0,0
263,0,0
264,0,0
265,0,0
266,1,1
267,0,0
268,0,0
269,0,0
270,0,0
271,0,0
272,1,1
273,0,0
274,1,1
